Date,Market,Symbol,Market Cap,PE,PEG,PBV,BVPS,Dividend Yield,12M Dividend Yield,Volume Turnover
21/10/2021,SET,MONO,"5,310,712,678",,,3.85,0.4,,,0.65
21/10/2021,SET,NCAP,"8,460,000,000",30.15,0.28,4.61,2.04,,,0.81
21/10/2021,SET,NER,"12,751,159,832",9.25,0.06,2.96,2.62,2.66,3.56,0.79
21/10/2021,SET,NEX,"14,735,182,088",,,5.1,1.73,,,0.75
21/10/2021,SET,NNCL,"5,448,357,933",11.76,0.31,1.65,1.62,4.12,4.12,0.08
21/10/2021,SET,NOBLE,"9,243,541,294",4.74,-0.3,1.55,4.35,12.84,12.59,2.12
21/10/2021,SET,NUSA,"3,216,433,044",,,0.7,0.58,,,1.64
21/10/2021,SET,NVD,"3,948,516,049",146.41,-1,0.88,3.26,,,0.01
21/10/2021,SET,NYT,"5,084,000,000",19.83,-1.84,1.61,2.54,4.88,4.88,0.14
21/10/2021,SET,PF,"4,481,254,511",,,0.39,1.2,4.26,4.26,1.12
21/10/2021,SET,PLAT,"9,352,000,000",,,1.16,2.87,,,0.01
21/10/2021,SET,PM,"6,042,277,530",14.3,0.52,4.27,2.36,5,5.45,0.05
21/10/2021,SET,PR9,"9,042,450,000",44.4,-12.21,2.22,5.19,0.96,0.96,0.26
21/10/2021,SET,PYLON,"3,374,430,282",54.76,-0.69,3.5,1.29,3.11,3.11,0.01
21/10/2021,SET,RJH,"10,500,000,000",20.62,0.35,6.79,5.15,2.86,3.43,0.55
21/10/2021,SET,RML,"4,089,034,444",,,0.8,1.23,,,1.85
21/10/2021,SET,ROJNA,"14,143,233,041",10.19,-4.52,0.95,7.37,2.86,2.86,0.23
21/10/2021,SET,S,"14,392,810,730",,,0.91,2.3,,,0.1
21/10/2021,SET,S11,"4,107,100,000",10.02,-0.41,1.4,4.79,3.73,3.73,0.09
21/10/2021,SET,SABINA,"6,637,250,000",22.35,-2.01,3.65,5.23,4.19,4.5,0.71
